meta_analytical_study,studyid,lat,lon,experiment_type,crop,crop_type,water_management,rain,irr,n_fer,p_fer,k_fer,texture,sbd,sph,soc,stn,bph,btc,btn,brate,phc_mean,phc_sd,phc_n,phr_mean,phr_sd,phr_n,clayall,sandall,clay,sand,rain_scaled,irr_scaled,n_fer_scaled,p_fer_scaled,k_fer_scaled,sbd_scaled,sph_scaled,soc_scaled,stn_scaled,bph_scaled,btc_scaled,btn_scaled,brate_scaled,clay_scaled,sand_scaled
Zhang23,1431,44.56,-123.28,field,pea,legumes,rainfed,1119,225,150,100,80,silty clay loam,1.15,5.01,9.5,0.95,9.8,489.6,9.8,1,5.01,0.433878727296004,3,5.95,0.515285115251741,3,29.86666667,4.8,29.86666667,4.8,1.50720488053419,-0.163822089599319,0.0719934954700418,-0.0795380891475413,0.0276788189846192,-0.487546933570486,-0.788747647069537,-0.107201101160611,-0.0566337102282614,0.160110606258746,-0.089863895483695,0.0119331355124877,-0.810281156543378,0.388064651280575,-1.70567534308891
Zhang23,1432,44.56,-123.28,field,pea,legumes,rainfed,1119,225,150,100,80,silty clay loam,1.15,5.01,9.5,0.95,9.8,489.6,9.8,2,5.01,0.433878727296004,3,5.99,0.518749216866879,3,29.86666667,4.8,29.86666667,4.8,1.50720488053419,-0.163822089599319,0.0719934954700418,-0.0795380891475413,0.0276788189846192,-0.487546933570486,-0.788747647069537,-0.107201101160611,-0.0566337102282614,0.160110606258746,-0.089863895483695,0.0119331355124877,-0.75566043615306,0.388064651280575,-1.70567534308891
Zhang23,1433,31.5,-83.53,field,maize,grain,rainfed,964,225,150,100,80,sandy loam,1.46,5.59,9.5,0.95,9.8,489.6,9.8,11,6.41,0.641,4,6.47,0.647,4,9.833333333,81.36666667,9.833333333,81.36666667,1.20417239908402,-0.163822089599319,0.0719934954700418,-0.0795380891475413,0.0276788189846192,1.26616823564902,-0.323191602879828,-0.107201101160611,-0.0566337102282614,0.160110606258746,-0.089863895483695,0.0119331355124877,-0.264073952640197,-2.32646226779439,3.99848962999184
Zhang23,1434,31.5,-83.53,field,maize,grain,rainfed,964,225,150,100,80,sandy loam,1.46,5.59,9.5,0.95,9.8,489.6,9.8,22,6.41,0.641,4,6.66,0.666,4,9.833333333,81.36666667,9.833333333,81.36666667,1.20417239908402,-0.163822089599319,0.0719934954700418,-0.0795380891475413,0.0276788189846192,1.26616823564902,-0.323191602879828,-0.107201101160611,-0.0566337102282614,0.160110606258746,-0.089863895483695,0.0119331355124877,0.336753971653302,-2.32646226779439,3.99848962999184
Zhang23,1435,31.5,-83.53,field,maize,grain,rainfed,964,225,150,100,80,sandy loam,1.46,5.59,9.5,0.95,9.8,489.6,9.8,11,6.45,0.645,4,6.55,0.655,4,9.833333333,81.36666667,9.833333333,81.36666667,1.20417239908402,-0.163822089599319,0.0719934954700418,-0.0795380891475413,0.0276788189846192,1.26616823564902,-0.323191602879828,-0.107201101160611,-0.0566337102282614,0.160110606258746,-0.089863895483695,0.0119331355124877,-0.264073952640197,-2.32646226779439,3.99848962999184
Zhang23,1436,31.5,-83.53,field,maize,grain,rainfed,964,225,150,100,80,sandy loam,1.46,5.59,9.5,0.95,9.8,489.6,9.8,22,6.45,0.645,4,6.58,0.658,4,9.833333333,81.36666667,9.833333333,81.36666667,1.20417239908402,-0.163822089599319,0.0719934954700418,-0.0795380891475413,0.0276788189846192,1.26616823564902,-0.323191602879828,-0.107201101160611,-0.0566337102282614,0.160110606258746,-0.089863895483695,0.0119331355124877,0.336753971653302,-2.32646226779439,3.99848962999184
Zhang23,1491,28.961993,107.045229,field,lettuce,vegetable,rainfed,1151.5,225,150,100,80,clay loam,1.28,5,9.5,0.95,9.8,489.6,9.8,0.75,5,0.866025403784439,3,5.31,0.919718978819074,3,28.16666667,32.26666667,28.16666667,32.26666667,1.57074394922536,-0.163822089599319,0.0719934954700418,-0.0795380891475413,0.0276788189846192,0.247882008360276,-0.796774475417635,-0.107201101160611,-0.0566337102282614,0.160110606258746,-0.089863895483695,0.0119331355124877,-0.823936336640958,0.157713781318039,0.340572779760163
Zhang23,1492,28.961993,107.045229,field,lettuce,vegetable,rainfed,1151.5,225,150,100,80,clay loam,1.28,5,9.5,0.95,9.8,489.6,9.8,0.75,5,0.866025403784439,3,5.31,0.919718978819074,3,28.16666667,32.26666667,28.16666667,32.26666667,1.57074394922536,-0.163822089599319,0.0719934954700418,-0.0795380891475413,0.0276788189846192,0.247882008360276,-0.796774475417635,-0.107201101160611,-0.0566337102282614,0.160110606258746,-0.089863895483695,0.0119331355124877,-0.823936336640958,0.157713781318039,0.340572779760163
Zhang23,1493,28.961993,107.045229,field,lettuce,vegetable,rainfed,1151.5,225,150,100,80,clay loam,1.28,5,9.5,0.95,9.8,489.6,9.8,0.75,5,0.866025403784439,3,5.31,0.919718978819074,3,28.16666667,32.26666667,28.16666667,32.26666667,1.57074394922536,-0.163822089599319,0.0719934954700418,-0.0795380891475413,0.0276788189846192,0.247882008360276,-0.796774475417635,-0.107201101160611,-0.0566337102282614,0.160110606258746,-0.089863895483695,0.0119331355124877,-0.823936336640958,0.157713781318039,0.340572779760163
Zhang23,1554,24.68,113.6,field,rice,grain,rainfed,1665,225,150,100,80,clay loam,1.23,5.54,9.5,0.95,9.8,489.6,9.8,2.7,5.53,0.173205080756888,3,6.04,0.259807621135332,3,28.4,35,28.4,35,2.57466123454577,-0.163822089599319,0.0719934954700418,-0.0795380891475413,0.0276788189846192,-0.0349752769977094,-0.36332574462032,-0.107201101160611,-0.0566337102282614,0.160110606258746,-0.089863895483695,0.0119331355124877,-0.717425931879838,0.189330566939659,0.544204267440547
