meta_analytical_study,no.,sources,year_of_experiment,country,lat,lon,experiment_type,crop,crop_type,water_magement,rainfallmm,irrigation_amountmm,n_fertilizerkg_ha,p_fertilizerkg_ha,k_fertilizerkg_ha,soil_texture,bulk_densityg_cm3,s_phwater,s_socg_kg,s_tng_kg,s_c:n,b_phwater,b_totalcg_kg,b_totalng_kg,b_c:n,biochar_ratet_ha,yc_mean,yc_sd,yc_n,yr_mean,yr_sd,yr_n,nuec_mean,nuec_sd,nuec_n,nuer_mean,nuer_sd,nuer_n,socc_mean,socc_sd,socc_n,socr_mean,socr_sd,socr_n,phc_mean,phc_sd,phc_n,phr_mean,phr_sd,phr_n,sbdc_mean,sbdc_sd,sbdc_n,sbdr_mean,sbdr_sd,sbdr_n
,60,Cao et al. (2022),,China,31.95,118.83329999999999,field,maize,grain,irrigation,,400,100,100,100,sandy loam,,,13.76,,,,16.8,,,10,8.23,0.2,3,9.31,0.03,3,82.3,2.14,3,93.1,1.08,3,,,,,,,,,,,,,,,,,,
,61,Cao et al. (2022),,China,31.95,118.83329999999999,field,maize,grain,irrigation,,200,100,100,100,sandy loam,,,11.76,,,,16.8,,,5,7.32,0.2,3,7.73,0.28,3,73.2,2.14,3,77.3,1.11,3,,,,,,,,,,,,,,,,,,
,62,Cao et al. (2022),,China,31.95,118.83329999999999,field,maize,grain,rainfed,,200,200,100,100,sandy loam,,,18.76,,,,16.8,,,15,7.11,0.1,3,7.16,0.1,3,35.55,1.85,3,35.8,1.52,3,,,,,,,,,,,,,,,,,,
,63,Cao et al. (2022),,China,31.95,118.83329999999999,field,maize,grain,irrigation,,400,200,100,100,sandy loam,,,12.76,,,,16.8,,,10,8.75,0.19,3,9.43,0.7,3,43.75,1.27,3,46.7,1.64,3,,,,,,,,,,,,,,,,,,
,64,Cao et al. (2022),,China,31.95,118.83329999999999,field,maize,grain,irrigation,,400,100,100,100,sandy loam,,,9.76,,,,16.8,,,5,8.23,0.19,3,8.87,0.31,3,82.3,1.27,3,88.7,1.74,3,,,,,,,,,,,,,,,,,,
,65,Cao et al. (2022),,China,31.95,118.83329999999999,field,maize,grain,irrigation,,400,200,100,100,sandy loam,,,8.76,,,,16.8,,,5,8.75,0.2,3,8.96,0.19,3,43.75,2.14,3,44.8,2.39,3,,,,,,,,,,,,,,,,,,
,66,Cao et al. (2022),,China,31.95,118.83329999999999,field,maize,grain,rainfed,,200,100,100,100,sandy loam,,,19.76,,,,16.8,,,15,7.32,0.1,3,7.34,0.52,3,73.2,1.85,3,73.4,2.42,3,,,,,,,,,,,,,,,,,,
,67,Cao et al. (2022),,China,31.95,118.83329999999999,field,maize,grain,irrigation,,400,200,100,100,sandy loam,,,16.76,,,,16.8,,,15,8.75,0.1,3,8.8,0.83,3,43.75,1.85,3,44,2.61,3,,,,,,,,,,,,,,,,,,
,68,Cao et al. (2022),,China,35.75,106.15,field,cabbage,vegetable,irrigation,146.80000000000001,,300,75,300,clay,1.07,7.83,33.43,,,9.5,69.57,3.98,17.4798994974874,10,111094.6,7319.6899102,3,101484.1,6073.0115122,3,511.45,84.53,3,474.62,122.78,3,,,,,,,7.8,0.06,3,7.86,0.14,3,1.18,0.04,3,1.19,0.05,3
,69,Cao et al. (2022),,China,35.75,106.15,field,cabbage,vegetable,irrigation,146.80000000000001,,300,75,300,clay,1.07,7.83,33.43,,,9.5,69.57,3.98,17.4798994974874,30,111094.6,7319.6899102,3,97647.1,5843.3977582,3,511.45,84.53,3,782.87,123.3,3,,,,,,,7.8,0.06,3,7.76,0.09,3,1.18,0.04,3,1.12,0.04,3
