studyid,lat,lon,experiment_type,crop,crop_type,water_management,rain,irr,n_fer,p_fer,k_fer,texture,sbd,sph,soc,stn,scn,bph,btc,btn,bcn,brate,yc_mean,yc_sd,yc_n,yr_mean,yr_sd,yr_n,yield_unit,yi,vi
1109,26.08,119.24,field,tobacco,others,unknown,1026,200,195,100,80,loam,1.44,5.2,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,1.335,2095,181.43232209284,3,2295,198.752830168529,3,kg/ha/yr,200,24140.125
1110,26.08,119.24,field,tobacco,others,unknown,1026,200,195,100,80,loam,1.44,5.2,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,2.0025,2095,181.43232209284,3,2454,212.522634088701,3,kg/ha/yr,359,26027.8525
1111,26.08,119.24,field,tobacco,others,unknown,1026,200,195,100,80,loam,1.44,5.2,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,2.67,2095,181.43232209284,3,2481,214.860902678919,3,kg/ha/yr,386,26360.965
1112,26.08,119.24,pot,tobacco,others,unknown,1026,200,195,100,80,loam,1.44,5,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,0.801,103.12,8.93045396382513,12,106.77,9.24655323620645,12,dw g/plant,3.64999999999999,13.7709795625
1113,26.08,119.24,pot,tobacco,others,unknown,1026,200,195,100,80,loam,1.44,5,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,1.602,103.12,8.93045396382513,12,110.91,9.60508775337321,12,dw g/plant,7.78999999999999,14.3342265625
1114,26.08,119.24,pot,tobacco,others,unknown,1026,200,195,100,80,loam,1.44,5,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,2.403,103.12,8.93045396382513,12,107.98,9.35134231006437,12,dw g/plant,4.86,13.93338425
1115,26.08,119.24,pot,tobacco,others,unknown,1026,200,195,100,80,loam,1.44,5,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,4.005,103.12,8.93045396382513,12,107.17,9.28119425235783,12,dw g/plant,4.05,13.8244645625
1116,26.08,119.24,pot,tobacco,others,unknown,1026,200,195,100,80,loam,1.44,5,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,6.0075,103.12,8.93045396382513,12,98.13,8.4983072873367,12,dw g/plant,-4.99000000000001,12.6645195625
1117,26.08,119.24,pot,tobacco,others,unknown,1026,200,195,100,80,loam,1.44,5,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,10.0125,103.12,8.93045396382513,12,92.41,8.002940756372,12,dw g/plant,-10.71,11.9833390625
1118,3.5,11.33,field,maize,grain,unknown,1800,200,195,100,80,sandy clay,1.44,4.76,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,0.545,2095,181.43232209284,6,3817,330.56189662452,6,kg/ha/yr,1722,23698.1425
1119,3.5,11.33,field,maize,grain,unknown,1800,200,195,100,80,sandy clay,1.44,4.76,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,0.545,2247,194.595908230363,6,4331,375.07560237904,6,kg/ha/yr,2084,29758.2125
1120,3.5,11.33,field,maize,grain,unknown,1800,200,195,100,80,sandy clay,1.44,4.76,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,0.545,3627,314.107413952616,6,4856,420.541936077723,6,kg/ha/yr,1229,45919.83125
